"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"b<b3>yskawica";0;0;0,0032414446241952;0;0;0;0,00956210259109986;0;0;0;0;0;0;0;0;0;0;0;0
"b<ea>d<b9>c";0;0;0;0;0;0;0,00522662416628543;0;0,0375065494749638;0;0;0;0;0;0,0206431396335072;0;0;0;0
"b<f3>l";0,0055925061520247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00615003467141439;0;0,0114290343893666;0
"ba<e6>";0;0;0;0;0;0;0,00318736753036662;0;0;0;0;0;0;0;0;0;0,0158435488460663;0;0
"bajka";0;0,00236041243709563;0;0;0;0;0;0;0;0,00696980153099482;0;0;0;0;0;0;0;0;0
"bal";0,00372833743468313;0;0;0;0;0,00196094625384568;0;0;0;0;0;0;0;0;0;0;0;0;0,0102817181958395
"banda";0;0,00708123731128689;0;0;0,00358490895523575;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bardziej";0,00337066751584918;0;0;0;0;0,00283652344411815;0,00189008775128187;0;0;0,0020665229812835;0;0;0,0136273543765771;0;0;0;0;0;0
"baron";0;0;0;0;0;0;0;0;0;0,00696980153099482;0;0;0,0612816511970488;0;0;0;0;0;0
"bawi<e6>";0;0;0;0;0,00358490895523575;0;0;0;0;0,00348490076549741;0;0;0;0;0;0;0;0;0
"bell";0;0;0;0;0,00850330869119745;0;0;0;0;0;0;0;0;0;0;0,0711685697387981;0,0563707146894504;0,0909270111764741;0,0743629119133677
"bell<ea>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0369002080284863;0,0259801464655847;0;0,041126872783358
"bellatriks";0;0,0077411773625652;0;0;0,00293925498092983;0;0;0,00298204368725916;0;0;0;0;0;0;0;0;0;0;0
"belli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0467236665611831;0,0493447502951031;0,0578865454105644;0,0607547976606375
